title_key,person_name,wikidata_id,start_year,end_year,source
earl of derby,"Charles Stanley, 8th Earl of Derby",Q5082632,1651,1672,wikidata
earl of derby,"William Stanley, 9th Earl of Derby",Q8018724,1672,1702,wikidata
earl of derby,"James Stanley, 10th Earl of Derby",Q6143497,1702,1736,wikidata
earl of derby,"Edward Stanley, 11th Earl of Derby",Q5345406,1736,1776,wikidata
earl of derby,"Edward Smith-Stanley, 12th Earl of Derby",Q333496,1776,1834,wikidata
earl of derby,"Edward Smith-Stanley, 13th Earl of Derby",Q335754,1834,1851,wikidata
earl of derby,"Frederick Stanley, 16th Earl of Derby",Q222458,1893,1908,wikidata
earl of derby,"Edward Stanley, 17th Earl of Derby",Q338427,1908,1948,wikidata
earl of derby,"John Stanley, 18th Earl of Derby",Q5345407,1948,1994,wikidata
earl of derby,"Edward Stanley, 19th Earl of Derby",Q5345408,1994,,wikidata
earl of egremont,"Charles Wyndham, 2nd Earl of Egremont",Q337680,,,wikidata
earl of egremont,"Algernon Seymour, 7th Duke of Somerset",Q3611562,1749,1750,wikidata
earl of egremont,"Algernon Seymour, 7th Duke of Somerset",Q3611562,1749,1750,wikidata
earl of egremont,"George Wyndham, 3rd Earl of Egremont",Q5546569,1763,,wikidata
earl of essex,"Sarah, Countess of Essex",Q16859078,,,wikidata
earl of essex,"Robert Devereux, 3rd Earl of Essex",Q2701696,,,wikidata
earl of essex,"Walter Devereux, 1st Earl of Essex",Q719792,,,wikidata
earl of essex,"Henry Bourchier, 1st Earl of Essex",Q5718412,,,wikidata
earl of essex,"Henry Bourchier, 2nd Earl of Essex",Q15286509,1483,1540,wikidata
earl of essex,Thomas Cromwell,Q294435,1540,,wikidata
earl of essex,"Robert Devereux, 2nd Earl of Essex",Q437917,1576,1601,wikidata
earl of essex,"Arthur Capell, 1st Earl of Essex",Q2714210,1661,1683,wikidata
earl of essex,"Algernon Capell, 2nd Earl of Essex",Q4724137,1683,1710,wikidata
earl of essex,"William Capell, 3rd Earl of Essex",Q7609264,1710,1743,wikidata
earl of essex,"William Capell, 4th Earl of Essex",Q7607210,1743,1799,wikidata
earl of essex,"George Capel-Coningsby, 5th Earl of Essex",Q5537665,1799,1839,wikidata
earl of essex,"Arthur Capell, 6th Earl of Essex",Q16528761,1839,1892,wikidata
earl of essex,"George Capell, 7th Earl of Essex",Q19587211,1892,1916,wikidata
earl of essex,"Algernon George de Vere Capell, 8th Earl of Essex",Q26208353,1916,1966,wikidata
earl of essex,"Reginald Capell, 9th Earl of Essex",Q7308632,1966,1981,wikidata
earl of essex,"Robert Capell, 10th Earl of Essex",Q7342736,1989,2005,wikidata
earl of essex,"Paul Capell, 11th Earl of Essex",Q16106618,2005,,wikidata
earl of fitzwilliam,,,,,
earl of gainsborough,"Anthony Noel, 5th Earl of Gainsborough",Q18645735,,,wikidata
earl of gainsborough,"Baptist Noel, 3rd Earl of Gainsborough",Q4857667,,,wikidata
earl of gainsborough,"Baptist Noel, 4th Earl of Gainsborough",Q4857670,,,wikidata
